epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,5536.74,0.13225,0.11029,0.8386,1,1,0.995,0.995,0.18701,0.09997,0.71299,0.0002576,0.0002576,0.0002576
90,5599,0.13348,0.11257,0.84345,0.99427,1,0.995,0.995,0.17633,0.11359,0.70384,0.0002378,0.0002378,0.0002378
91,5660.15,0.11847,0.14736,0.82332,0.99413,1,0.995,0.995,0.17217,0.11018,0.69872,0.000218,0.000218,0.000218
92,5721.21,0.11394,0.09109,0.83421,0.9942,1,0.995,0.98138,0.20381,0.11046,0.7142,0.0001982,0.0001982,0.0001982
93,5782.72,0.10894,0.09355,0.84913,0.99419,1,0.995,0.98138,0.21109,0.10476,0.71056,0.0001784,0.0001784,0.0001784
94,5843.83,0.11068,0.09072,0.84182,0.99414,1,0.995,0.98138,0.19365,0.10772,0.69901,0.0001586,0.0001586,0.0001586
95,5904.97,0.10197,0.08827,0.85779,0.99422,1,0.995,0.983,0.21347,0.11776,0.72216,0.0001388,0.0001388,0.0001388
96,5965.94,0.10381,0.08831,0.82057,0.99417,1,0.995,0.983,0.20307,0.11963,0.72335,0.000119,0.000119,0.000119
97,6026.94,0.09968,0.08159,0.8242,0.99427,1,0.995,0.995,0.1714,0.1159,0.69517,9.92e-05,9.92e-05,9.92e-05
98,6087.69,0.09807,0.08489,0.82538,0.99421,1,0.995,0.995,0.165,0.12235,0.69864,7.94e-05,7.94e-05,7.94e-05
99,6148.77,0.09781,0.08167,0.83005,0.99419,1,0.995,0.995,0.20788,0.1184,0.72416,5.96e-05,5.96e-05,5.96e-05
100,6209.53,0.09687,0.08372,0.82736,0.99418,1,0.995,0.995,0.20217,0.11467,0.7176,3.98e-05,3.98e-05,3.98e-05
