epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,9468.01,0.32661,0.4248,0.22751,0.78391,0.99105,1,0.995,0.7595,0.83833,0.82334,0.84384,0.47193,0.43115,0.81823,0.20092,0.77142,0.000420875,0.000420875,0.000420875
69,9605.43,0.31163,0.40652,0.21702,0.78477,0.97853,0.98958,0.98445,0.73043,0.86482,0.875,0.88124,0.46978,0.4529,0.9865,0.20391,0.77068,0.0004085,0.0004085,0.0004085
70,9744.24,0.32056,0.41956,0.22142,0.78341,0.99078,1,0.995,0.71271,0.85165,0.84722,0.87449,0.45582,0.48254,0.9627,0.21706,0.77235,0.000396125,0.000396125,0.000396125
71,9881.6,0.31413,0.41808,0.2185,0.78535,0.99302,1,0.995,0.76534,0.83502,0.83681,0.81774,0.44546,0.43155,0.74125,0.19591,0.76996,0.00038375,0.00038375,0.00038375
72,10020,0.30606,0.40694,0.2159,0.78495,0.98236,0.98958,0.98531,0.76429,0.83021,0.83681,0.83573,0.46944,0.41448,0.71391,0.1986,0.76685,0.000371375,0.000371375,0.000371375
73,10157.8,0.31329,0.41116,0.21927,0.78227,0.9805,0.98958,0.98104,0.75524,0.82498,0.83333,0.83701,0.45053,0.41793,0.76718,0.19911,0.76943,0.000359,0.000359,0.000359
74,10296.6,0.30289,0.40136,0.21348,0.78232,0.98144,0.98958,0.98079,0.74365,0.83567,0.84375,0.84223,0.48219,0.42153,0.89936,0.20065,0.76834,0.000346625,0.000346625,0.000346625
75,10435,0.2956,0.38905,0.20828,0.78277,0.97813,0.97917,0.97366,0.73851,0.84765,0.80556,0.83903,0.48199,0.42664,0.98123,0.20164,0.77018,0.00033425,0.00033425,0.00033425
76,10573.9,0.29519,0.38477,0.20888,0.78181,0.99165,1,0.995,0.75512,0.84629,0.85417,0.85205,0.44235,0.43298,0.93128,0.19818,0.76905,0.000321875,0.000321875,0.000321875
77,10712.1,0.29569,0.37903,0.21088,0.78249,0.98211,0.98958,0.98629,0.7532,0.81591,0.82292,0.82053,0.4532,0.42602,0.88281,0.20275,0.7698,0.0003095,0.0003095,0.0003095
78,10850.2,0.28674,0.37539,0.20464,0.78131,0.9822,0.98958,0.98717,0.75771,0.82972,0.83681,0.83483,0.47925,0.42758,0.88225,0.19889,0.76928,0.000297125,0.000297125,0.000297125
79,10989.9,0.28521,0.38069,0.20462,0.78219,0.98165,0.98958,0.98618,0.75502,0.83645,0.85274,0.82204,0.45641,0.42177,0.82067,0.19003,0.76792,0.00028475,0.00028475,0.00028475
80,11128.4,0.28532,0.36433,0.20302,0.78329,0.97128,0.97917,0.97345,0.76057,0.82636,0.84241,0.82854,0.43907,0.42943,0.88734,0.19184,0.76824,0.000272375,0.000272375,0.000272375
81,11266.5,0.27929,0.36976,0.20049,0.78139,0.98173,0.98958,0.98236,0.75841,0.80597,0.82144,0.8121,0.44134,0.41627,0.8574,0.18837,0.76734,0.00026,0.00026,0.00026
82,11405.4,0.27576,0.35969,0.19985,0.78272,0.99262,0.99957,0.995,0.75915,0.88201,0.82292,0.84688,0.45782,0.41695,0.81166,0.18805,0.76743,0.000247625,0.000247625,0.000247625
83,11543.9,0.28173,0.36928,0.20004,0.78271,0.98216,0.98958,0.98582,0.75461,0.82621,0.8421,0.83853,0.46496,0.4182,0.93389,0.19029,0.76836,0.00023525,0.00023525,0.00023525
84,11683.6,0.27634,0.36254,0.19667,0.784,0.9931,1,0.995,0.75095,0.82651,0.84265,0.8315,0.45781,0.4234,0.91387,0.19129,0.76792,0.000222875,0.000222875,0.000222875
85,11822.5,0.27008,0.35316,0.19582,0.78148,0.99069,1,0.995,0.77166,0.84553,0.85417,0.83113,0.44725,0.41248,0.87063,0.18377,0.76636,0.0002105,0.0002105,0.0002105
86,11961.6,0.27248,0.35651,0.19634,0.77982,0.99178,1,0.995,0.74346,0.89699,0.77431,0.82589,0.45255,0.42881,0.95714,0.19616,0.76931,0.000198125,0.000198125,0.000198125
87,12101.5,0.2639,0.34769,0.19448,0.78035,0.98302,0.98958,0.98775,0.76713,0.80575,0.8125,0.79469,0.43592,0.40953,0.91334,0.1871,0.76815,0.00018575,0.00018575,0.00018575
88,12241,0.25977,0.3386,0.19131,0.78072,0.98169,0.98958,0.98559,0.75243,0.82901,0.83681,0.84208,0.45374,0.42335,0.94088,0.19473,0.76914,0.000173375,0.000173375,0.000173375
89,12381.4,0.26202,0.34232,0.19095,0.78237,0.993,1,0.995,0.76017,0.81059,0.81597,0.82286,0.45047,0.41826,0.97858,0.18706,0.769,0.000161,0.000161,0.000161
90,12520.6,0.25505,0.34129,0.18724,0.78144,0.98324,0.98958,0.98757,0.7543,0.80984,0.81597,0.83293,0.45564,0.41212,0.89238,0.18706,0.76799,0.000148625,0.000148625,0.000148625
91,12644.6,0.27454,0.36199,0.20147,0.76848,0.99163,1,0.995,0.75808,0.81508,0.82292,0.82875,0.42221,0.42068,0.91571,0.18857,0.76877,0.00013625,0.00013625,0.00013625
92,12767.8,0.25259,0.33401,0.18676,0.76795,0.99202,1,0.995,0.75807,0.81529,0.82292,0.82721,0.44927,0.42477,0.93059,0.19364,0.76849,0.000123875,0.000123875,0.000123875
93,12891.1,0.24852,0.33229,0.18264,0.76867,0.98217,0.98958,0.98891,0.75264,0.84267,0.79167,0.82317,0.4311,0.42351,0.99977,0.19192,0.76874,0.0001115,0.0001115,0.0001115
