epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
44,4495.78,0.37758,0.50683,0.28492,0.78821,0,0.99805,1,0.995,0.89913,0.95641,0.95833,0.93836,0.52947,0.31355,0.55019,0.19722,0.83056,0,0.000957358,0.000957358,0.000957358
45,4598.13,0.36638,0.48497,0.26976,0.78881,0,0.99785,1,0.995,0.89284,0.97704,0.97917,0.96326,0.5508,0.31643,0.55059,0.19373,0.83076,0,0.000940855,0.000940855,0.000940855
46,4700.43,0.37682,0.49815,0.29006,0.788,0,0.99685,1,0.995,0.90456,0.96562,0.96875,0.95568,0.54119,0.30305,0.541,0.19509,0.83031,0,0.000924352,0.000924352,0.000924352
47,4803.11,0.36762,0.48226,0.27487,0.78556,0,0.99771,1,0.995,0.90967,0.9665,0.96875,0.96386,0.56639,0.30411,0.51079,0.1911,0.83042,0,0.000907848,0.000907848,0.000907848
48,4905.17,0.36793,0.48178,0.2706,0.78889,0,0.9976,1,0.995,0.8953,0.96639,0.96875,0.95049,0.54407,0.33248,0.54077,0.19692,0.83149,0,0.000891345,0.000891345,0.000891345
49,5008.07,0.37816,0.49647,0.27007,0.78731,0,0.99751,1,0.995,0.89568,0.96662,0.96875,0.94904,0.53417,0.32293,0.51915,0.18632,0.83102,0,0.000874842,0.000874842,0.000874842
50,5110.75,0.37684,0.48251,0.27927,0.7865,0,0.99813,1,0.995,0.91087,0.95652,0.95833,0.94927,0.54254,0.30624,0.50444,0.18795,0.8315,0,0.000858338,0.000858338,0.000858338
51,5213.86,0.36524,0.47687,0.27208,0.78484,0,0.99773,1,0.995,0.89386,0.95612,0.95833,0.94957,0.52121,0.31524,0.52674,0.18859,0.83144,0,0.000841835,0.000841835,0.000841835
52,5315.96,0.35628,0.47172,0.2617,0.7889,0,0.99001,1,0.995,0.8939,0.95878,0.96875,0.95919,0.52332,0.3169,0.50087,0.19707,0.83221,0,0.000825332,0.000825332,0.000825332
53,5418.03,0.35711,0.47371,0.25773,0.78239,0,0.99043,1,0.995,0.88258,0.94879,0.95833,0.93469,0.51949,0.32382,0.56265,0.19296,0.83157,0,0.000808828,0.000808828,0.000808828
54,5520.12,0.35954,0.47492,0.26092,0.79232,0,0.99813,1,0.995,0.89019,0.95651,0.95833,0.94898,0.53412,0.36297,0.55292,0.19627,0.83204,0,0.000792325,0.000792325,0.000792325
55,5621.8,0.35688,0.4756,0.26312,0.78596,0,0.99727,1,0.995,0.89544,0.96603,0.96875,0.96089,0.53275,0.31652,0.55045,0.18351,0.83104,0,0.000775822,0.000775822,0.000775822
56,5724.16,0.35801,0.47147,0.25852,0.7861,0,0.99838,1,0.995,0.89806,0.96715,0.96875,0.958,0.56594,0.3144,0.52292,0.18455,0.83278,0,0.000759318,0.000759318,0.000759318
57,5825.58,0.35226,0.48704,0.25913,0.78551,0,0.99722,1,0.995,0.90678,0.95561,0.95833,0.93782,0.54556,0.29686,0.48931,0.17847,0.83005,0,0.000742815,0.000742815,0.000742815
58,5927.54,0.34905,0.47124,0.25484,0.79054,0,0.99836,1,0.995,0.9096,0.95672,0.95833,0.93867,0.53577,0.30499,0.54873,0.18299,0.8312,0,0.000726312,0.000726312,0.000726312
59,6029.72,0.34448,0.44893,0.25124,0.78499,0,0.99113,1,0.995,0.90165,0.94949,0.95833,0.94001,0.51995,0.29825,0.52646,0.17506,0.83096,0,0.000709809,0.000709809,0.000709809
60,6132.1,0.35561,0.48161,0.26096,0.78566,0,0.99057,1,0.995,0.89885,0.94961,0.95833,0.94388,0.52464,0.30565,0.49944,0.17798,0.83057,0,0.000693305,0.000693305,0.000693305
61,6233.81,0.34925,0.45626,0.24527,0.78506,0,0.99697,1,0.995,0.89813,0.96574,0.96875,0.94802,0.56077,0.28545,0.48207,0.16384,0.83002,0,0.000676802,0.000676802,0.000676802
62,6336.06,0.34974,0.46583,0.25703,0.78708,0,0.99783,1,0.995,0.91322,0.95622,0.95833,0.93224,0.55556,0.29507,0.49626,0.16831,0.83162,0,0.000660299,0.000660299,0.000660299
63,6438.11,0.34282,0.44859,0.2554,0.78707,0,0.99784,1,0.995,0.90446,0.9458,0.94792,0.90962,0.52502,0.30746,0.51471,0.16479,0.83188,0,0.000643795,0.000643795,0.000643795
64,6540.09,0.33228,0.44078,0.25076,0.78245,0,0.99786,1,0.995,0.90532,0.95622,0.95833,0.92356,0.5355,0.31417,0.54397,0.17124,0.83172,0,0.000627292,0.000627292,0.000627292
65,6642.9,0.35519,0.47208,0.25151,0.78608,0,0.99747,1,0.995,0.90137,0.95583,0.95833,0.92332,0.55212,0.31758,0.5357,0.1779,0.83118,0,0.000610789,0.000610789,0.000610789
66,6744.37,0.35401,0.44783,0.24711,0.78747,0,0.99806,1,0.995,0.90553,0.94604,0.94792,0.90639,0.52504,0.29547,0.53846,0.16367,0.83083,0,0.000594286,0.000594286,0.000594286
67,6846.12,0.34542,0.4426,0.24511,0.78265,0,0.99773,1,0.995,0.90992,0.94572,0.94792,0.9091,0.52238,0.28959,0.53322,0.1663,0.83007,0,0.000577782,0.000577782,0.000577782
68,6948.23,0.32469,0.43209,0.23844,0.78598,0,0.99808,1,0.995,0.90423,0.94606,0.94792,0.92139,0.52278,0.29921,0.52431,0.16357,0.83145,0,0.000561279,0.000561279,0.000561279
69,7050.55,0.32838,0.42194,0.233,0.78625,0,0.99828,1,0.995,0.90721,0.94624,0.94792,0.90502,0.52099,0.30456,0.5225,0.16997,0.83131,0,0.000544776,0.000544776,0.000544776
70,7153.27,0.32632,0.43323,0.23302,0.78409,0,0.99816,1,0.995,0.89937,0.95655,0.95833,0.92815,0.53528,0.3112,0.51593,0.17538,0.83159,0,0.000528272,0.000528272,0.000528272
71,7254.89,0.33548,0.45273,0.24152,0.78779,0,0.99811,1,0.995,0.89901,0.93566,0.9375,0.90134,0.53047,0.30929,0.52751,0.1709,0.83098,0,0.000511769,0.000511769,0.000511769
72,7358.19,0.32815,0.43599,0.24229,0.78123,0,0.99807,1,0.995,0.8994,0.9359,0.9375,0.90503,0.54484,0.30119,0.51263,0.16868,0.8307,0,0.000495266,0.000495266,0.000495266
73,7459.55,0.32435,0.40922,0.2331,0.78527,0,0.99783,1,0.995,0.90779,0.95622,0.95833,0.9271,0.54188,0.28496,0.52939,0.16276,0.83144,0,0.000478762,0.000478762,0.000478762
74,7561.86,0.33314,0.44034,0.23506,0.78314,0,0.99797,1,0.995,0.89204,0.94595,0.94792,0.92748,0.53686,0.29805,0.52009,0.17025,0.83062,0,0.000462259,0.000462259,0.000462259
75,7664.6,0.33308,0.4383,0.24762,0.77977,0,0.99821,1,0.995,0.90359,0.95658,0.95833,0.93647,0.55807,0.29239,0.54384,0.1686,0.83119,0,0.000445756,0.000445756,0.000445756
76,7766.62,0.32812,0.43012,0.23955,0.78337,0,0.99833,1,0.995,0.90678,0.94631,0.94792,0.91966,0.53784,0.29537,0.49563,0.16262,0.83077,0,0.000429253,0.000429253,0.000429253
77,7868.76,0.3107,0.41234,0.23357,0.78648,0,0.99789,1,0.995,0.91086,0.94584,0.94792,0.91363,0.52544,0.29156,0.50973,0.15247,0.82996,0,0.000412749,0.000412749,0.000412749
78,7970.46,0.31714,0.41991,0.22784,0.78392,0,0.99842,1,0.995,0.89997,0.9568,0.95833,0.92779,0.54879,0.28293,0.49475,0.16145,0.8298,0,0.000396246,0.000396246,0.000396246
79,8072.9,0.31251,0.43714,0.22333,0.78167,0,0.99826,1,0.995,0.90246,0.95662,0.95833,0.93318,0.56188,0.2954,0.47992,0.16471,0.8303,0,0.000379743,0.000379743,0.000379743
80,8175.65,0.30878,0.4113,0.23035,0.78313,0,0.99847,1,0.995,0.90957,0.95686,0.95833,0.93343,0.54201,0.28847,0.52274,0.15918,0.83027,0,0.000363239,0.000363239,0.000363239
81,8277.41,0.30788,0.41429,0.22331,0.78263,0,0.99811,1,0.995,0.89981,0.95647,0.95833,0.92833,0.5246,0.32738,0.54445,0.16188,0.83193,0,0.000346736,0.000346736,0.000346736
82,8379.65,0.31016,0.41443,0.22732,0.78268,0,0.99794,1,0.995,0.90776,0.9563,0.95833,0.92639,0.54411,0.29777,0.5102,0.15977,0.83057,0,0.000330233,0.000330233,0.000330233
83,8481.82,0.31155,0.43719,0.22273,0.78349,0,0.9979,1,0.995,0.90407,0.95629,0.95833,0.92955,0.52886,0.29688,0.55393,0.15583,0.83093,0,0.000313729,0.000313729,0.000313729
84,8584.28,0.31081,0.41833,0.22134,0.78229,0,0.99759,1,0.995,0.90124,0.94555,0.94792,0.90148,0.53321,0.29872,0.53692,0.15813,0.83136,0,0.000297226,0.000297226,0.000297226
85,8686.52,0.30591,0.4047,0.21708,0.78012,0,0.99787,1,0.995,0.90131,0.94583,0.94792,0.90271,0.51843,0.29098,0.5447,0.14827,0.82987,0,0.000280723,0.000280723,0.000280723
